"","firm","longitude","latitude","collected"
"511","starbucks",-107.885172,37.272032,2008
"512","starbucks",-107.993794,36.825268,2008
"513","starbucks",-108.148677,36.766896,2008
"514","starbucks",-108.155472,36.760884,2008
"515","starbucks",-108.158917,36.750514,2008
"516","starbucks",-108.352445,39.106181,2008
"517","starbucks",-108.459813,39.087391,2008
"518","starbucks",-108.461658,39.086936,2008
"519","starbucks",-108.50355,45.782347,2008
"520","starbucks",-108.514059,39.090818,2008
"521","starbucks",-108.551055,39.103614,2008
"522","starbucks",-108.551173,39.083203,2008
"523","starbucks",-108.569877,39.068318,2008
"524","starbucks",-108.576379,45.774245,2008
"525","starbucks",-108.582762,45.77074,2008
"526","starbucks",-108.58707,39.08232,2008
"527","starbucks",-108.588295,39.066558,2008
"528","starbucks",-108.60382,39.089493,2008
"529","starbucks",-108.608834,39.09582,2008
"530","starbucks",-108.759113,35.536006,2008
"531","starbucks",-109.25225,41.579214,2008
"532","starbucks",-109.287599,34.130487,2008
"533","starbucks",-109.550673,38.567583,2008
"534","starbucks",-109.734988,32.837538,2008
"535","starbucks",-109.841442,32.261142,2008
"536","starbucks",-109.919126,31.397774,2008
"537","starbucks",-109.953499,34.14073,2008
"538","starbucks",-110.001318,53.278065,2008
"539","starbucks",-110.052369,34.246004,2008
"540","starbucks",-110.253527,31.556135,2008
"541","starbucks",-110.255399,31.555815,2008
"542","starbucks",-110.275466,31.554581,2008
"543","starbucks",-110.306264,31.969357,2008
"544","starbucks",-110.353165,31.556711,2008
"545","starbucks",-110.648205,49.997744,2008
"546","starbucks",-110.665886,50.006821,2008
"547","starbucks",-110.686981,50.033197,2008
"548","starbucks",-110.768994,32.220784,2008
"549","starbucks",-110.771515,32.218034,2008
"550","starbucks",-110.786777,32.207554,2008
"551","starbucks",-110.78903,32.208149,2008
"552","starbucks",-110.791113,32.190585,2008
"553","starbucks",-110.797594,32.257844,2008
"554","starbucks",-110.800138,32.119023,2008
"555","starbucks",-110.806593,32.22082,2008
"556","starbucks",-110.825828,32.235433,2008
"557","starbucks",-110.83744,33.413532,2008
"558","starbucks",-110.83752,32.220906,2008
"559","starbucks",-110.838976,32.251009,2008
"560","starbucks",-110.843656,32.206384,2008
"561","starbucks",-110.846495,32.308825,2008
"562","starbucks",-110.856475,32.189647,2008
"563","starbucks",-110.858194,32.235973,2008
"564","starbucks",-110.866166,32.220031,2008
"565","starbucks",-110.875901,32.182128,2008
"566","starbucks",-110.889344,32.251263,2008
"567","starbucks",-110.891712,32.308314,2008
"568","starbucks",-110.892374,32.308308,2008
"569","starbucks",-110.892566,32.269381,2008
"570","starbucks",-110.913935,32.221704,2008
"571","starbucks",-110.919428,32.221709,2008
"572","starbucks",-110.927504,32.236152,2008
"573","starbucks",-110.92909,32.32243,2008
"574","starbucks",-110.940557,31.366032,2008
